date,target,am,pm,predict
2020-04-17,working,21,2,weekend
2020-04-18,weekend,1,68,working
2020-04-19,weekend,18,15,working
2020-04-20,working,2,23,working
2020-04-21,working,0,25,working
2020-04-22,working,0,28,working
2020-04-23,working,10,33,working
2020-04-24,working,2,14,working
2020-04-25,weekend,30,74,working
2020-04-26,weekend,28,233,working
2020-04-27,working,4,2,working
2020-04-28,working,4,1,working
2020-04-29,working,0,17,working
2020-04-30,working,13,40,working
2020-05-01,working,8,52,working
2020-05-02,weekend,91,151,working
2020-05-03,weekend,47,133,working
2020-05-04,working,11,26,working
2020-05-05,working,81,58,working
2020-05-06,working,2,0,weekend
2020-05-07,working,14,38,working
2020-05-08,working,3,84,working
2020-05-09,weekend,0,86,working
2020-05-10,weekend,10,133,working
2020-05-11,working,3,183,working
2020-05-12,working,56,267,working
2020-05-13,working,6,205,working
2020-05-14,working,66,509,working
2020-05-15,working,10,0,weekend
2020-05-16,weekend,0,4,working
2020-05-17,weekend,2,46,working
2020-05-18,working,0,3,working
2020-05-19,working,20,14,working
2020-05-20,working,7,21,working
2020-05-21,working,1,48,working
